country,capital,area,population
Австралия,Канберра,7692024,25788000
Австрия,Вена,83871,9006400
Азербайджан,Баку,86600,10139177
Албания,Тирана,28748,2877800
Алжир,Алжир,2381741,43851044
Ангола,Луанда,1246700,32866272
Андорра,Андорра-ла-Велья,468,77265
Аргентина,Буэнос-Айрес,2780400,45195777
Армения,Ереван,29743,2963243
Афганистан,Кабул,652230,38928346
Багамы,Нассау,13880,393248
Бангладеш,Дакка,147570,164689383
Барбадос,Бриджтаун,430,287375
Бахрейн,Манама,765,1701583
Беларусь,Минск,207600,9449323
Белиз,Бельмопан,22966,397628
Бельгия,Брюссель,30528,11589623
Бенин,Порто-Ново,112622,12123200
Болгария,София,110879,6948445
Боливия,Ла-Пас,1098581,11673021
Босния и Герцеговина,Сараево,51197,3280819
Ботсвана,Габороне,581730,2351627
Бразилия,Бразилиа,8515767,213993437
Бруней,Бандар-Сери-Бегаван,5765,437483
Буркина-Фасо,Уагадугу,274200,20903273
Бурунди,Гитега,27834,11890784
Бутан,Тхимпху,38394,771612
Вануату,Порт-Вила,12189,307150
Ватикан,Ватикан,0.44,800
Великобритания,Лондон,242495,67886011
Венгрия,Будапешт,93028,9660351
Венесуэла,Каракас,912050,28435940
Восточный Тимор,Дили,14874,1318445
Вьетнам,Ханой,331212,97338579
Габон,Либревиль,267668,2225734
Гаити,Порт-о-Пренс,27750,11402533
Гайана,Джорджтаун,214969,786559
Гамбия,Банжул,10689,2416664
Гана,Аккра,238533,31072940
Гватемала,Гватемала,108889,17915568
Гвинея,Конакри,245857,13132795
Гвинея-Бисау,Бисау,36125,1968001
Германия,Берлин,357022,83783942
Гондурас,Тегусигальпа,112492,9904607
Гренада,Сент-Джорджес,344,112523
Греция,Афины,131957,10423054
Грузия,Тбилиси,69700,3989167
Дания,Копенгаген,43094,5831404
Джибути,Джибути,23200,988002
Доминика,Розо,751,71991
Доминиканская Республика,Санто-Доминго,48671,10847910
Египет,Каир,1001450,102334404
Замбия,Лусака,752612,18383955
Зимбабве,Хараре,390757,14862924
Израиль,Иерусалим,20770,8655535
Индия,Нью-Дели,3287263,1380004385
Индонезия,Джакарта,1904569,273523615
Иордания,Амман,89342,10203134
Ирак,Багдад,438317,40222503
Иран,Тегеран,1648195,83992949
Ирландия,Дублин,70273,4937786
Исландия,Рейкьявик,103000,366425
Испания,Мадрид,505992,46754778
Италия,Рим,301336,60461826
Йемен,Сана,527968,29825968
Кабо-Верде,Прая,4033,555988
Казахстан,Нур-Султан,2724900,18776707
Камбоджа,Пномпень,181035,16718965
Камерун,Яунде,475442,26545864
Канада,Оттава,9984670,37742154
Катар,Доха,11586,2881053
Кения,Найроби,580367,53771300
Кипр,Никосия,9251,1207361
Кыргызстан,Бишкек,199951,6524195
Кирибати,Южная Тарава,811,119449
Китай,Пекин,9596960,1439323776
Колумбия,Богота,1141748,50882891
Коморы,Морони,1862,869601
Коста-Рика,Сан-Хосе,51100,5094118
Кот-д'Ивуар,Ямусукро,322463,26378275
Куба,Гавана,109884,11326616
Кувейт,Эль-Кувейт,17818,4270571
Лаос,Вьентьян,236800,7275560
Латвия,Рига,64589,1886198
Лесото,Масеру,30355,2142249
Либерия,Монровия,111369,5057677
Ливан,Бейрут,10400,6825445
Ливия,Триполи,1759540,6871292
Литва,Вильнюс,65300,2722289
Лихтенштейн,Вадуц,160,38128
Люксембург,Люксембург,2586,625978
Маврикий,Порт-Луи,2040,1265985
Мавритания,Нуакшот,1030700,4649658
Мадагаскар,Антананариву,587041,27691018
Малави,Лилонгве,118484,19129955
Малайзия,Куала-Лумпур,329847,32365999
Мали,Бамако,1240192,20250834
Мальдивы,Мале,300,540544
Мальта,Валлетта,316,441543
Марокко,Рабат,446550,36910560
Маршалловы Острова,Маджуро,181,59194
Мексика,Мехико,1964375,128932753
Мозамбик,Мапуту,801590,31255435
Молдова,Кишинёв,33851,4033963
Монако,Монако,2.02,39244
Монголия,Улан-Батор,1564116,3278292
Мьянма,Нейпьидо,676578,54409800
Намибия,Виндхук,824292,2540905
Науру,Ярен,21,10834
Непал,Катманду,147181,29136808
Нигер,Ниамей,1267000,24206644
Нигерия,Абуджа,923768,206139589
Нидерланды,Амстердам,41543,17134872
Никарагуа,Манагуа,130373,6624554
Новая Зеландия,Веллингтон,270467,5084300
Норвегия,Осло,323802,5421241
ОАЭ,Абу-Даби,83600,9890402
Оман,Маскат,309500,5106626
Пакистан,Исламабад,881912,220892340
Палау,Нгерулмуд,459,18094
Панама,Панама,75417,4314768
Папуа-Новая Гвинея,Порт-Морсби,462840,8947027
Парагвай,Асунсьон,406752,7132538
Перу,Лима,1285216,32971854
Польша,Варшава,312685,38386000
Португалия,Лиссабон,92090,10196709
Россия,Москва,17100000,146000000
Руанда,Кигали,26338,12952218
Румыния,Бухарест,238391,19237691
Сальвадор,Сан-Сальвадор,21041,6486205
Самоа,Апиа,2842,198410
Сан-Марино,Сан-Марино,61,33931
Сан-Томе и Принсипи,Сан-Томе,964,219159
Саудовская Аравия,Эр-Рияд,2149690,34813867
Северная Македония,Скопье,25713,2083374
Сейшелы,Виктория,455,98347
Сенегал,Дакар,196722,16743927
Сент-Винсент и Гренадины,Кингстаун,389,110947
Сент-Китс и Невис,Бастер,261,53192
Сент-Люсия,Кастри,616,183627
Сербия,Белград,77474,8737371
Сингапур,Сингапур,728.6,5850342
Сирия,Дамаск,185180,17500658
Словакия,Братислава,49035,5459642
Словения,Любляна,20273,2078938
Соломоновы Острова,Хониара,28896,686884
Сомали,Могадишо,637657,15893222
Судан,Хартум,1861484,43849269
Суринам,Парамарибо,163820,586634
США,Вашингтон,9833517,331002651
Сьерра-Леоне,Фритаун,71740,7976985
Таджикистан,Душанбе,143100,9537645
Таиланд,Бангкок,513120,69799978
Танзания,Додома,945087,59734218
Того,Ломе,56785,8278737
Тонга,Нукуалофа,747,105695
Тринидад и Тобаго,Порт-оф-Спейн,5130,1399488
Тувалу,Фунафути,26,11792
Тунис,Тунис,163610,11818619
Туркменистан,Ашхабад,488100,6031200
Турция,Анкара,783562,84339067
Уганда,Кампала,241038,45741007
Узбекистан,Ташкент,447400,33469203
Украина,Киев,603500,43733762
Уругвай,Монтевидео,176215,3473730
Фиджи,Сува,18274,896445
Филиппины,Манила,300000,109581078
Финляндия,Хельсинки,338424,5540720
Франция,Париж,551695,65273511
Хорватия,Загреб,56594,4105267
Центральноафриканская Республика,Банги,622984,4829767
Чад,Нджамена,1284000,16425864
Черногория,Подгорица,13812,628066
Чехия,Прага,78867,10708981
Чили,Сантьяго,756102,19116201
Швейцария,Берн,41284,8654622
Швеция,Стокгольм,450295,10099265
Шри-Ланка,Шри-Джаяварденепура-Котте,65610,21413249
Эквадор,Кито,283561,17643054
Экваториальная Гвинея,Малабо,28051,1402985
Эритрея,Асмэра,117600,3546421
Эсватини,Мбабане,17364,1160164
Эстония,Таллин,45227,1326535
Эфиопия,Аддис-Абеба,1104300,114963588
ЮАР,Претория,1221037,59308690
Южная Корея,Сеул,100210,51269185
Южный Судан,Джуба,644329,11193729
Ямайка,Кингстон,10991,2961167
Япония,Токио,377930,125836021
